text,label,cleaned,stemmed
اين شايد اولين عزاى عمومى واقعى است كه ياد دارم. تمام وجودم عزادار است؛ پر از گريه، پر از خشم، پر از فرياد. مثل همهى شما. . #آتشنشان_تسليت,SAD, اولین عزای عمومی یاد وجودم عزادار است؛ پر گریه پر خشم پر فریاد همهی آتشنشان تسلیت,اين شايد اولين عزاى عمومى واقعى است كه ياد دارم. تمام وجودم عزادار است؛ پر از گريه، پر از خشم، پر از فرياد. مثل همهى شما. . #آتشنشان_تسليت
دیشب بعد از ارسال تویت مربوط به آثار باستانی تویت دیگری نوشتم ولی هرچه منتظر شدم ارسال نشد، از همون موقع تا الان تویتر نداشتم، ناراحت بودم که نکنه پیامی داده باشین ومن نبینم که الحمدالله خبری نیست خوب، چه خبر؟ من نبودم خوش گذشته؟,HAPPY, دیشب ارسال تویت مربوط آثار باستانی تویت نوشتم هرچه منتظر شدم ارسال نشد همون موقع تویتر نداشتم ناراحت بودم نکنه پیامی باشین ومن نبینم الحمدالله خبری خوب خبر نبودم خوش,دیشب بعد از ارسال تویت مربوط به آثار باستانی تویت دیگری نوشتم ولی هرچه منتظر شدم ارسال نشد، از همون موقع تا الان تویتر نداشتم، ناراحت بودم که نکنه پیامی داده باشین ومن نبینم که الحمدالله خبری نیست خوب، چه خبر؟ من نبودم خوش گذشته؟
 کدوم شعبه پول نداده، بگو الان برات آمار دقیق بدم، شعار الکی نده، هرکی برداشت پولشو کمتر از دو ساعت برگردوند وقتی فهمید کلاه سرش رفته و هیچ بانکی مثل آینده بهش نه خدمات میده نه سود,OTHER, کدوم شعبه پول نداده برات آمار دقیق بدم شعار الکی نده هرکی برداشت پولشو کمتر ساعت برگردوند فهمید کلاه سرش بانکی آینده بهش میده سود, کدوم شعبه پول نداده، بگو الان برات آمار دقیق بدم، شعار الکی نده، هرکی برداشت پولشو کمتر از دو ساعت برگردوند وقتی فهمید کلاه سرش رفته و هیچ بانکی مثل آینده بهش نه خدمات میده نه سود
امروز وسط یه بحث با بابا مامانم گفتم آدم باید تلاش کنه شادی تو قلبش باشه بعدش میخواستم پاشم دور افتخار بزنم به خاطر حماسهای که خلق کردم!,HAPPY, وسط بحث بابا مامانم آدم تلاش کنه شادی قلبش بعدش میخواستم پاشم دور افتخار بزنم خاطر حماسهای خلق,امروز وسط یه بحث با بابا مامانم گفتم آدم باید تلاش کنه شادی تو قلبش باشه بعدش میخواستم پاشم دور افتخار بزنم به خاطر حماسهای که خلق کردم!
امشب گفت نامزدی دوستش که ادم روشنفکری است بهم خورده و دختر بشدت نگران حرف مردم گفتم وای به مردم روشنفکرمون که نگران مردمند پس تقصیری بر مادر حاشیه من نیست که بعد از یکسال و درگوشی درمورد تجاوز به دخترش حرف میزنه و ترس از ابرو داره #زنان_را_بشنوید,SAD, امشب نامزدی دوستش ادم روشنفکری بهم خورده دختر بشدت نگران حرف روشنفکرمون نگران مردمند تقصیری مادر حاشیه یکسال درگوشی درمورد تجاوز دخترش حرف میزنه ترس ابرو زنان بشنوید,امشب گفت نامزدی دوستش که ادم روشنفکری است بهم خورده و دختر بشدت نگران حرف مردم گفتم وای به مردم روشنفکرمون که نگران مردمند پس تقصیری بر مادر حاشیه من نیست که بعد از یکسال و درگوشی درمورد تجاوز به دخترش حرف میزنه و ترس از ابرو داره #زنان_را_بشنوید
به امید موفقیت تیم ملی #ایران و پیروزی در بازی امروز در برابر #ژاپن,HAPPY, امید موفقیت تیم ملی ایران پیروزی بازی ژاپن,به امید موفقیت تیم ملی #ایران و پیروزی در بازی امروز در برابر #ژاپن
با آرزوی موفقیت و پیروزی #all_for_teammeli #ایران #جام_جهانی_۲۰۱۸ #بورس #سهام #ده_درصد,HAPPY, آرزوی موفقیت پیروزی ایران جام جهانی بورس سهام درصد,با آرزوی موفقیت و پیروزی #all_for_teammeli #ایران #جام_جهانی_۲۰۱۸ #بورس #سهام #ده_درصد
"دلمه خوردن تو خونهی مادربزرگ با خاله ها و خنده و حرف زدن تا ۵ صبح... رو تشکای دستدوز و لحافای سنگین کنار هم قطاری خوابیدن و صدای پچ پچ تا وقتی که روشنی صبح بزنه تو اتاق و یکی داد بزنه""بخوابید دیگه"" همین الان که دارم تجربه میکنم هم بازم دلم میخواد...بیشتر میخوام...کاش تموم نشه",HAPPY, دلمه خوردن خونهی مادربزرگ خاله خنده حرف زدن صبح تشکای دستدوز لحافای سنگین قطاری خوابیدن صدای پچ پچ روشنی صبح بزنه اتاق بزنه بخوابید تجربه بازم دلم میخواد میخوام کاش تموم نشه,"دلمه خوردن تو خونهی مادربزرگ با خاله ها و خنده و حرف زدن تا ۵ صبح... رو تشکای دستدوز و لحافای سنگین کنار هم قطاری خوابیدن و صدای پچ پچ تا وقتی که روشنی صبح بزنه تو اتاق و یکی داد بزنه""بخوابید دیگه"" همین الان که دارم تجربه میکنم هم بازم دلم میخواد...بیشتر میخوام...کاش تموم نشه"
فن مترو خراب بود. ملت داشتن غر میزدن. آقای میانسالی گفت: وقتی تو مدرسه به بچهها تجاوز میکنن توقع دارین مترو همهچیزش سالم باشه! #مترو,SURPRISE, فن مترو خراب ملت غر میزدن آقای میانسالی مدرسه بچهها تجاوز توقع دارین مترو همهچیزش سالم مترو,فن مترو خراب بود. ملت داشتن غر میزدن. آقای میانسالی گفت: وقتی تو مدرسه به بچهها تجاوز میکنن توقع دارین مترو همهچیزش سالم باشه! #مترو
از ترس دوستان، آشنایان، اقوام، همکاران و... بیست و چهار ساعته نه سمت تلگرام رفتم نه اینستاگرام,FEAR, ترس دوستان آشنایان اقوام همکاران بیست ساعته سمت تلگرام رفتم اینستاگرام,از ترس دوستان، آشنایان، اقوام، همکاران و... بیست و چهار ساعته نه سمت تلگرام رفتم نه اینستاگرام
