text,label,cleaned,stemmed
خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم,SAD, کوچیک هستن سایزشون بدرد نمیخوره میخوام بدم,خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم
از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم,HATE, صدای پرنده دمای صبح متنفرم متنفرم متنفرم,از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم
" ""کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم.",SAD, کیفیتش خوبه شک خریدم واقعا راضیم حدود ماه متاسفانه باخبر شدیم فردی ایرانشهر حداقل دختر تجاوز امیدواریم همکاری نمایندگان محترم مجلس دستگاه قضا راحتی باخبر نشیم," ""کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم."
چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید,OTHER, همش دوربین ثبت ایا اعتراض زد اصن تاثیر اطلاعی ممنون میشم راهنمایی,چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید
اين وضع ب طرز خنده داري گريه داره ...,SAD, طرز خنده گریه,اين وضع ب طرز خنده داري گريه داره ...
خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن,HATE, رسما نفر متنفرم گربه بدش صبح شروع مخ رفتن؛شپش میگیری کزاز میگیری کک درد مرض اینقدر تکرار سرم میخاره میپرم جلوی آینه وقت شپش نگرفته عوضی ازش متنفرم بهش بودم منو حساس نکن,خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن
داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا,FEAR, خواب میدیدم یهو توی خواب بیاین درینک بزنیم خواب ترسناک ببینیم پیک زدیم دقیقا همونطور ضربان خواب پریدم ساعت صبحه ذهن بیمارتر دیدین ژانر شنگول منگول خوابمو عوض,داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا
"اصلا ارزش خرید نداره فقط رو مخ میره""",ANGRY, ارزش خرید مخ میره,"اصلا ارزش خرید نداره فقط رو مخ میره"""
اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!,ANGRY, اونجایه آدمه مفعول ودروغگو عجب خرایی واقعا روشن میگه شبه اسم اینوچی گذاشت دسترسی ندارم بهش میخام بگم اسمی خودت بگوبرات بذاریم آخرش کش,اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!
"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش""",HAPPY, گوشی اعصابم بهم ریخت کوبیدم تودیوار له السیدیش هنوزم کارمیکنه حرف گوشیش,"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش"""
